T,c,eta_alpha,Tide,HasDendrite,Tsc,HasReachedHeightLimitof180μm,Nd,AR_max,AR_avg,tau_max
268,0.05,-0.3,375.7333274,0,375.7333274,0,0,0,0,1
268,0.05,-0.4,371.9224782,0,371.9224782,0,0,0,0,1
268,0.05,-0.5,488.7332192,1,500,0,5,12.21893736,6.044184086,1.013223086
268,0.07,-0.3,500,0,500,0,0,0,0,1
268,0.07,-0.4,377.0164455,0,377.0164455,0,0,0,0,1
268,0.07,-0.5,386.9833216,1,397.4183216,1,8,235.3556603,71.69908784,2.055218087
268,0.09,-0.2,307.4058708,0,307.4058708,0,0,0,0,1
268,0.09,-0.3,500,0,500,0,0,0,0,1
268,0.09,-0.4,288.9255744,1,500,0,7,184.746093,71.38639148,1.486709672
268,0.09,-0.5,323.133322,1,334.718322,1,10,309.853445,58.28601482,1.919048936
268,0.11,-0.3,500,0,500,0,0,0,0,1
268,0.11,-0.4,284.05,1,496.8878125,0,8,114.6901001,61.69277397,1.355448014
268,0.11,-0.5,302.02144,1,316.47894,1,7,319.9962402,53.58306031,1.722647332
268,0.11,-0.6,0.2814192,1,2.7289192,1,48,325.0505642,403.438912,19.67306961
268,0.13,-0.3,500,0,500,0,0,0,0,1
268,0.13,-0.4,386.12,1,500,0,9,45.10694914,35.31951004,1.006937033
268,0.13,-0.5,355.1,1,378.37125,1,8,296.5639474,73.47495894,2.419674112
268,0.13,-0.6,0.2112,1,2.5784,1,35,226.0203978,426.7050674,18.43644193
268,0.15,-0.2,305.9824367,0,305.9824367,0,0,0,0,1
268,0.15,-0.3,500,0,500,0,0,0,0,1
268,0.15,-0.4,500,0,500,0,0,0,0,1
268,0.15,-0.5,500,0,500,0,0,0,0,1
268,0.15,-0.6,0.559837,1,2.3902375,1,53,28.79858328,87.00704051,6.086258096
278,0.05,-0.3,484.110825,0,484.110825,0,0,0,0,1
278,0.05,-0.4,288.8352,1,469.5252,1,5,140.1596238,71.61083671,2.427396454
278,0.05,-0.5,271.5232192,1,285.0682192,1,9,290.6302306,57.71287932,1.579697693
278,0.07,-0.2,307.5462418,0,307.5462418,0,0,0,0,1
278,0.07,-0.3,500,0,500,0,0,0,0,1
278,0.07,-0.4,185.4902,1,354.7902,1,6,210.5132022,118.119054,3.052983366
278,0.07,-0.5,166.4951688,1,183.3201688,1,13,555.1951697,128.8265611,2.552628002
278,0.09,-0.2,308.9937027,0,308.9937027,0,0,0,0,1
278,0.09,-0.3,500,0,500,0,0,0,0,1
278,0.09,-0.4,162.9327,1,302.3827,1,6,283.5502583,105.9380841,2.717385203
278,0.09,-0.5,134.36144,1,150.35644,1,12,580.7537434,159.000448,2.911452197
278,0.11,-0.2,335.3440543,0,335.3440543,0,0,0,0,1
278,0.11,-0.3,455.5617625,0,455.5617625,0,0,0,0,1
278,0.11,-0.4,155.8052,1,304,1,6,216.1955027,137.7077724,3.241025033
278,0.11,-0.5,124.28144,1,142.15644,1,10,650.9321048,153.534981,2.291315537
278,0.11,-0.6,0.5081424,1,2.9437674,1,47,648.3118349,498.3435753,14.05133634
278,0.13,-0.2,328.2078043,0,328.2078043,0,0,0,0,1
278,0.13,-0.3,388.312075,0,388.312075,0,0,0,0,1
278,0.13,-0.4,173.1702,1,340.12,1,6,280.9420476,138.8241364,3.231235673
278,0.13,-0.5,152.5652,1,166.8727,1,10,591.5500386,89.52313508,2.03834193
278,0.13,-0.6,0.361034375,1,2.576034375,1,34,410.8986006,502.9027099,17.26463759
278,0.15,-0.2,315.8360569,0,315.8360569,0,0,0,0,1
278,0.15,-0.3,500,0,500,0,0,0,0,1
278,0.15,-0.4,219.9147552,1,431.3947552,1,5,183.9131887,121.3785752,3.02166429
278,0.15,-0.5,198.7551,1,216.3801,1,8,332.0922135,72.50998371,2.339001942
278,0.15,-0.6,0.2441375,1,2.3816375,1,26,241.5527407,411.9982729,20.27185313
288,0.05,-0.2,500,0,500,0,0,0,0,1
288,0.05,-0.3,500,0,500,0,0,0,0,1
288,0.05,-0.4,160.9277,1,284.28,1,5,213.0766116,118.988588,3.059619344
288,0.05,-0.5,109.1950062,1,129.2525062,1,13,856.1298766,150.3139337,2.608181711
288,0.07,-0.2,366.9968756,0,366.9968756,0,0,0,0,1
288,0.07,-0.3,336.79083,0,336.79083,0,0,0,0,1
288,0.07,-0.4,106.6977,1,210.8877,1,6,248.3950909,112.32379,2.865986916
288,0.07,-0.5,68.62144,1,88.65144,1,11,682.3181047,281.687129,3.391871526
288,0.09,-0.2,349.673234,0,349.673234,0,0,0,0,1
288,0.09,-0.3,328.2971925,0,328.2971925,0,0,0,0,1
288,0.09,-0.4,89.6977,1,183.2177,1,7,260.9634656,128.4747586,3.107909
288,0.09,-0.5,56.90144,1,71.10144,1,18,1097.452204,244.5455612,2.988173953
288,0.09,-0.6,0.636056,1,3.20183725,1,48,1114.104078,662.5767296,10.21700418
288,0.11,-0.3,406.1706168,0,406.1706168,1,0,0,0,1
288,0.11,-0.4,83.0502,1,176.7302,1,6,321.8984811,156.7129964,2.954563848
288,0.11,-0.5,54.86144,1,69.37144,1,16,1924.414571,359.2430973,2.835004774
288,0.11,-0.6,0.560632,1,2.831882,1,51,911.2845811,549.3985194,12.40785976
288,0.13,-0.3,344.551502,0,344.551502,0,0,0,0,1
288,0.13,-0.4,82.7952,1,179.7652,1,6,292.6998332,135.6630369,3.139330556
288,0.13,-0.5,61.31505,1,73.12005,1,14,882.5495006,232.5255546,2.834019295
